InnateDB ID	UNIPROT	ENSEMBL	Entrez ID	RefSeq
766321	P32007	ENSBTAG00000047418	282480	NP_777085
649160	P68530	ENSBTAG00000043556	3283880	YP_209208
649162	P03929	ENSBTAG00000043564	3283881	YP_209209
649163	P00847	ENSBTAG00000043584	3283882	YP_209210
649164	P00415	ENSBTAG00000043560	3283883	YP_209211
649166	P03898	ENSBTAG00000043568	3283884	YP_209212
649168	P03902	ENSBTAG00000043559	3283885	YP_209213
649169	P03910	ENSBTAG00000043577	3283886	YP_209214
649174	P03924	ENSBTAG00000043546	3283888	YP_209216
649176	P00157	ENSBTAG00000043550	3283889	YP_209217
629141	A4IF94	ENSBTAG00000003124	510635	NP_001077131
766324	Q3SZ36	ENSBTAG00000021981	616554	NP_001029965
633471	Q3ZBQ4	ENSBTAG00000019804	513526	NP_001160084
633479	A7YWH9	ENSBTAG00000019805	529167	NP_001098870
648920	Q32L17	ENSBTAG00000024593	519496	NP_001035630
628373	Q08DA5	ENSBTAG00000011895	510749	NP_001068931
644010	Q2M2T7	ENSBTAG00000007398	617466	NP_001040066
628375	Q2TBH7	ENSBTAG00000018857	615849	NP_001033774
633549	A1A4Q3	ENSBTAG00000038757	100140603	NP_001077237
644011	A0JN92	ENSBTAG00000009453	504226	NP_001015513
633573	Q2HJE5	ENSBTAG00000016571	507493	NP_001068786
629425	Q3ZBP4	ENSBTAG00000020035	539640	NP_001029851
644017	A6H7G2	ENSBTAG00000017547	514706	NP_001092440
633684	Q2HJJ1	ENSBTAG00000016581	508216	NP_001039461
628380	P68138	ENSBTAG00000046332	281592	NP_776650
647248	F1MIW6	ENSBTAG00000013841	768067	NP_001070592
629432	A6H770	ENSBTAG00000011528	615202	NP_001107988
644028	A6QNZ8	ENSBTAG00000012073	767861	NP_001070440
628566	Q5EA86	ENSBTAG00000002874	534797	NP_001029788
633843	Q32KX8	ENSBTAG00000002735	514636	NP_001033195
628913	P04836	ENSBTAG00000016514	280753	NP_776328
629444	Q2YDN1	ENSBTAG00000000616	768006	NP_001070534
628573	Q7YS81	ENSBTAG00000006030	281343	NP_001104795
634027	A4FV58	ENSBTAG00000002484	511837	NP_001076880
629143	A0JN41	ENSBTAG00000034681	535917	NP_001073077
636987	Q2TA10	ENSBTAG00000020796	535287	NP_001033256
634091	Q17QT4	ENSBTAG00000000179	525521	NP_001069342
634116	Q0P5C0	ENSBTAG00000019745	505124	NP_001068658
636995	Q3ZBU2	ENSBTAG00000003634	531444	NP_001029229
640889	Q08DQ2	ENSBTAG00000002215	530101	NP_001070351
636390	P10894	ENSBTAG00000008338	287026	NP_777242
634135	Q2TA38	ENSBTAG00000012601	510343	NP_001033158
629450	P13621	ENSBTAG00000018278	281640	NP_776669
628580	P13605	ENSBTAG00000014912	281168	NP_776483
629543	Q32PI9	ENSBTAG00000002823	539387	NP_001069626
629161	A4IFA7	ENSBTAG00000022013	533020	NP_001077186
638820	Q3SWX0	ENSBTAG00000016895	507430	NP_001029470
641626	Q5BIR6	ENSBTAG00000003552	541303	NP_001029902
643394	P98201	ENSBTAG00000000656	511224	NP_001160087
629165	A5D7F8	ENSBTAG00000001508	528315	NP_001091534
641636	Q2HJH3	ENSBTAG00000003550	530784	NP_001039780
641644	Q32LB6	ENSBTAG00000003545	505533	NP_001032675
628583	P58874	ENSBTAG00000013764	404034	NP_991339
634384	Q58CS8	ENSBTAG00000014118	508713	NP_001017428
629611	F1MT22	ENSBTAG00000013256	520189	NP_001179449
644934	Q3ZBG7	ENSBTAG00000012803	514960	NP_001029650
643397	A1A4J6	ENSBTAG00000001224	510301	NP_001073724
634442	Q1ECT8	ENSBTAG00000033395	618598	NP_001069980
634451	Q4PKH3	ENSBTAG00000015889	513545	NP_001020502
629672	Q59A28	ENSBTAG00000008490	506426	NP_001030209
634705	Q0IIE5	ENSBTAG00000007246	615464	NP_001069845
638916	Q3SZB5	ENSBTAG00000015841	513406	NP_001029616
638921	Q0VD01	ENSBTAG00000003225	513405	NP_001069085
629787	Q59A32	ENSBTAG00000009188	281183	NP_001035563
629815	Q3SZL9	ENSBTAG00000001258	615627	NP_001029958
628589	Q58CT8	ENSBTAG00000012349	540424	NP_001015674
634824	Q3MHZ2	ENSBTAG00000016558	515661	NP_001029678
634831	Q3MHY6	ENSBTAG00000016561	515660	NP_001029677
634839	Q3B7M2	ENSBTAG00000019998	509274	NP_001030351
640977	Q2NKS0	ENSBTAG00000009737	511749	NP_001039563
644039	Q3T104	ENSBTAG00000014971	615778	NP_001035676
629846	Q04790	ENSBTAG00000021819	282257	NP_776977
643432	Q3T0S6	ENSBTAG00000026327	535056	NP_001029797
629263	A2VDY4	ENSBTAG00000020132	525698	NP_001075062
634867	Q3SZ10	ENSBTAG00000009533	618440	NP_001030578
634873	Q02373	ENSBTAG00000009534	327701	NP_787012
634877	O18789	ENSBTAG00000009535	286867	NP_001028785
634884	Q2TBT8	ENSBTAG00000009536	767973	NP_001070506
643439	Q5E9K1	ENSBTAG00000018455	504807	NP_001014850
634922	A2VE58	ENSBTAG00000008504	618415	NP_001075933
628785	A6QL48	ENSBTAG00000009357	508292	NP_001093794
634995	Q2KID2	ENSBTAG00000006272	535203	NP_001039862
643452	A8E4L3	ENSBTAG00000046031	618766	NP_001103654
643459	A5PJJ5	ENSBTAG00000004969	539952	NP_001095849
628791	A0JN52	ENSBTAG00000010627	504962	NP_001071319
643479	A4IFH5	ENSBTAG00000007835	539188	NP_001077209
628797	Q3MHG0	ENSBTAG00000012988	533007	NP_001029755
635247	Q29RR0	ENSBTAG00000000279	515675	NP_001039674
643519	Q0P5G1	ENSBTAG00000007749	505102	NP_001068656
643529	Q1KZG0	ENSBTAG00000046026	510951	NP_001039532
643531	Q10569	ENSBTAG00000008355	282703	NP_777145
628834	Q5EA33	ENSBTAG00000009176	540949	NP_001014965
635283	Q17QU5	ENSBTAG00000009928	535236	NP_001030488
635315	Q2T9S4	ENSBTAG00000009951	538173	NP_001033261
635371	A6QR16	ENSBTAG00000009969	504506	NP_001095311
628631	Q2NKV8	ENSBTAG00000010177	508464	NP_001068829
638977	A8E639	ENSBTAG00000034978	505853	NP_001103260
643592	Q08DJ8	ENSBTAG00000020751	506235	NP_001070277
629062	Q2KID9	ENSBTAG00000008241	512469	NP_001039588
643632	A5D9C6	ENSBTAG00000012242	512498	NP_001029596
643639	E1BDF2	ENSBTAG00000012235	512499	NP_001103236
643644	P00125	ENSBTAG00000012232	512500	NP_001033179
643652	Q7YRA3	ENSBTAG00000014607	618292	NP_001071554
635489	A5PK16	ENSBTAG00000006591	505200	NP_001092340
641136	P79331	ENSBTAG00000014665	282401	NP_777056
629488	A6QQY2	ENSBTAG00000000501	528138	NP_001095981
628868	Q2KJB9	ENSBTAG00000023989	511226	NP_001039543
635530	P23956	ENSBTAG00000026428	550622	NP_001017954
643663	Q32L53	ENSBTAG00000000312	510225	NP_001032682
635532	A7MBC0	ENSBTAG00000001022	521401	NP_001094574
629617	A6QR06	ENSBTAG00000010456	521918	NP_001094576
635589	A5PKG7	ENSBTAG00000040575	100125308	NP_001096811
648550	Q2NKZ4	ENSBTAG00000008947	509186	NP_001039490
628411	Q28067	ENSBTAG00000002985	407176	NP_001001141
628393	A5D7J5	ENSBTAG00000018691	781044	NP_001091616
647179	O77700	ENSBTAG00000009510	516422	NP_001193557
643796	Q58D08	ENSBTAG00000016810	512526	NP_001014906
643799	A5D989	ENSBTAG00000014643	516473	NP_001193549
629012	F1MM41	ENSBTAG00000034689	509076	NP_001179139
639722	Q1RMU8	ENSBTAG00000047586	504813	NP_001039363
635823	Q2M2S6	ENSBTAG00000002367	535210	NP_001039863
636416	A4FV27	ENSBTAG00000007977	513094	NP_001076887
629955	A5D7N9	ENSBTAG00000016619	510809	NP_001091479
629375	Q3SWY1	ENSBTAG00000014090	524118	NP_001030426
641177	A0JN74	ENSBTAG00000039246	514580	NP_001071388
628414	Q5EA06	ENSBTAG00000002779	517459	NP_001015618
629595	Q2HJD1	ENSBTAG00000003975	539289	NP_001014953
629114	Q8HXY9	ENSBTAG00000015427	281682	NP_776693
644059	Q3SZM6	ENSBTAG00000035286	767824	NP_001070016
628744	Q4TVR5	ENSBTAG00000016618	534684	NP_001019995
644062	Q3SYW5	ENSBTAG00000004117	767932	NP_001070473
629779	Q0P5B9	ENSBTAG00000035244	510840	NP_001068939
643870	Q1RMQ4	ENSBTAG00000005762	516158	NP_001039686
643878	A6H707	ENSBTAG00000005063	516073	NP_001092845
635973	Q17QK9	ENSBTAG00000004875	514154	NP_001069117
629153	A7MB75	ENSBTAG00000015432	511832	NP_001094548
635976	Q32LI1	ENSBTAG00000000611	767879	NP_001193407
648744	Q3SZ47	ENSBTAG00000035199	614711	NP_001106779
628984	Q2KID6	ENSBTAG00000007234	533951	NP_001039827
641221	P0C2B8	ENSBTAG00000020721	506657	NP_001068744
641225	Q58DU0	ENSBTAG00000020720	506656	NP_001029444
629828	P00428	ENSBTAG00000018542	287012	NP_001029218
628617	Q3ZBG5	ENSBTAG00000005355	506107	NP_001029436
629183	Q0VCT3	ENSBTAG00000015686	509625	NP_001068880
636027	P00639	ENSBTAG00000020107	282217	NP_776959
636097	Q2TBI4	ENSBTAG00000020109	514472	NP_001033764
630058	P00442	ENSBTAG00000018854	281495	NP_777040
629550	Q08DL1	ENSBTAG00000035018	540006	NP_001069665
629720	Q3T0N3	ENSBTAG00000010009	614715	NP_001029938
629741	Q3T100	ENSBTAG00000010265	507346	NP_001030218
628848	Q29S11	ENSBTAG00000008001	505585	NP_001039385
628403	A5D979	ENSBTAG00000006112	534918	NP_001091551
648959	A4IF89	ENSBTAG00000006111	540237	NP_001091581
636453	Q17QQ3	ENSBTAG00000008323	540853	NP_001069714
639741	P30274	ENSBTAG00000004943	281667	NP_001068591
628941	O75601	ENSBTAG00000020884	338039	NP_788811
629956	Q29441	ENSBTAG00000009834	281701	NP_776704
628945	Q08DE8	ENSBTAG00000012774	538050	NP_001071481
629761	Q0VC20	ENSBTAG00000016801	509500	NP_001068876
643907	A2VDT1	ENSBTAG00000046467	100137722	NP_001077235
636268	Q0VCN1	ENSBTAG00000010015	534628	NP_001069500
636285	Q58D45	ENSBTAG00000018938	510242	NP_001014892
628422	A6QQF7	ENSBTAG00000023073	616421	NP_001094727
629613	Q8SQH5	ENSBTAG00000046037	282479	NP_777084
641334	Q95KV7	ENSBTAG00000007812	338084	NP_788845
629663	Q3T197	ENSBTAG00000047169	504687	NP_001029391
630049	Q3ZCK8	ENSBTAG00000014873	614794	NP_001181953
628483	E1BK52	ENSBTAG00000017457	526376	NP_001179556
648005	Q24K16	ENSBTAG00000001724	532505	NP_001069432
630052	Q3ZBG6	ENSBTAG00000014877	513629	NP_001014921
629695	Q3SZN0	ENSBTAG00000004291	540783	NP_001030507
628971	A6QL50	ENSBTAG00000020227	616965	NP_001094733
636407	Q148F6	ENSBTAG00000016331	510492	NP_001068920
636411	A4FUF0	ENSBTAG00000001731	539636	NP_001035658
628486	Q5EAE3	ENSBTAG00000034659	541134	NP_001015679
641406	Q58DU8	ENSBTAG00000001763	508684	NP_001029499
647706	Q67ER4	ENSBTAG00000006034	493640	NP_001007808
629071	Q58CR3	ENSBTAG00000010432	511844	NP_001030276
641572	Q28104	ENSBTAG00000000810	338085	NP_788846
643475	Q3ZC84	ENSBTAG00000009841	512626	NP_001030280
630125	O46419	ENSBTAG00000003965	286864	NP_777220
645019	A7MB89	ENSBTAG00000008699	541180	NP_001094689
630191	Q58DV5	ENSBTAG00000038949	614151	NP_001030520
629074	A4IF63	ENSBTAG00000008816	538617	NP_001077204
645025	Q2LGB7	ENSBTAG00000002357	539350	NP_001039921
628558	Q08E50	ENSBTAG00000003392	523515	NP_001069312
628426	O77802	ENSBTAG00000011034	282141	NP_001092325
641635	Q0VCT2	ENSBTAG00000007698	507157	NP_001068769
643495	Q3SYW0	ENSBTAG00000009686	505376	NP_001030193
641655	P63048	ENSBTAG00000007737	615199	NP_001069831
628498	P81103	ENSBTAG00000015100	338075	NP_001029222
641701	Q2NL29	ENSBTAG00000017482	509394	NP_001039497
629226	A5D7K1	ENSBTAG00000018143	539441	NP_001091934
629794	Q3SX46	ENSBTAG00000021410	531644	NP_001029747
629799	Q2KIE4	ENSBTAG00000034992	508412	NP_001039468
629234	Q05B57	ENSBTAG00000020273	539931	NP_001073778
629238	P26285	ENSBTAG00000002126	287019	NP_777237
639117	Q2KJ33	ENSBTAG00000006262	515401	NP_001124223
641731	Q3ZBK6	ENSBTAG00000008578	613634	NP_001030513
629978	Q32LB5	ENSBTAG00000004569	615034	NP_001069825
628432	P25068	ENSBTAG00000048171	286837	NP_777201
629876	A7MB71	ENSBTAG00000008920	510026	NP_001095389
641746	P11023	ENSBTAG00000010635	282029	NP_776871
645052	Q3T044	ENSBTAG00000011608	508617	NP_001029497
641759	P23726	ENSBTAG00000002350	282308	NP_777001
629992	Q3B7L9	ENSBTAG00000011591	513714	NP_001032908
641747	Q29RL2	ENSBTAG00000013615	505144	NP_001039377
628438	Q28880	ENSBTAG00000027225	403090	NP_982259
641840	Q2TBV6	ENSBTAG00000004604	510778	NP_001033612
639240	Q1RMT1	ENSBTAG00000020777	507984	NP_001039453
641860	Q3T003	ENSBTAG00000015831	404142	NP_001028791
645067	P84088	ENSBTAG00000013741	281711	NP_776708
628444	P46165	ENSBTAG00000046144	768320	NP_001095832
629299	Q28008	ENSBTAG00000046772	282415	NP_777058
641896	O77801	ENSBTAG00000025775	281870	NP_776790
628560	Q2KI76	ENSBTAG00000000640	512276	NP_001039579
648746	Q03255	ENSBTAG00000047779	280931	NP_001014407
641989	A5PK45	ENSBTAG00000012678	513167	NP_001092425
628450	O02775	ENSBTAG00000033545	281743	NP_783634
630426	Q0VBW8	ENSBTAG00000034184	768331	NP_001070990
645072	Q5E9M8	ENSBTAG00000014536	511375	NP_001015574
628451	P46163	ENSBTAG00000034954	783935	NP_001124233
642026	Q3T0N1	ENSBTAG00000003914	507199	NP_001029455
647825	Q95136	ENSBTAG00000047719	281125	NP_776467
628516	Q0VCZ0	ENSBTAG00000000564	613901	NP_001069764
648960	A3KMW7	ENSBTAG00000012566	781199	NP_001091617
629017	Q1RMX9	ENSBTAG00000003087	508759	NP_001039477
642082	A8NN94	ENSBTAG00000014579	786454	NP_001103657
642083	Q17QP1	ENSBTAG00000025809	768306	NP_001071591
642089	Q08E57	ENSBTAG00000012587	504517	NP_001070269
639435	P21327	ENSBTAG00000007584	281869	NP_776789
628721	Q3SZI1	ENSBTAG00000012652	512517	NP_001030279
630490	Q56JX3	ENSBTAG00000019701	534279	NP_001020512
639461	Q3SZY8	ENSBTAG00000026994	767914	NP_001070459
639462	O18836	ENSBTAG00000011808	281187	NP_001001525
629788	Q3T0T8	ENSBTAG00000016341	540509	NP_001029879
629208	Q2KIC8	ENSBTAG00000009292	613987	NP_001039987
630148	Q32LE9	ENSBTAG00000013406	539381	NP_001033272
642213	A4FV75	ENSBTAG00000013614	532775	NP_001076932
629795	Q29RM9	ENSBTAG00000046277	617437	NP_001040065
642259	A5PK23	ENSBTAG00000005312	506331	NP_001092358
637084	O02659	ENSBTAG00000007049	281297	NP_776532
628518	Q0P5C3	ENSBTAG00000013873	540230	NP_001073082
629323	Q5E9G6	ENSBTAG00000006715	538528	NP_001015667
629222	P02720	ENSBTAG00000018706	317656	NP_777260
630232	Q3ZCI9	ENSBTAG00000014233	281047	NP_001028781
630238	Q08DA3	ENSBTAG00000020122	519992	NP_001070335
628470	Q0P5A0	ENSBTAG00000004515	505563	NP_001068675
639479	Q29RQ9	ENSBTAG00000012561	768077	NP_001070601
629852	Q1RMX6	ENSBTAG00000027425	617478	NP_001069930
628520	Q3SX11	ENSBTAG00000003066	522309	NP_001029718
628464	Q17QS6	ENSBTAG00000014143	516722	NP_001069212
645081	A7Z064	ENSBTAG00000007840	407159	NP_001099083
629193	Q56JV9	ENSBTAG00000009908	282053	NP_001029210
645085	Q9GKI7	ENSBTAG00000000081	286797	NP_777190
644105	Q1RMP9	ENSBTAG00000001710	533671	NP_001039823
639844	Q28156	ENSBTAG00000024888	281972	NP_776842
628642	A2VDZ3	ENSBTAG00000010649	407231	NP_001077107
629928	Q2YDE2	ENSBTAG00000010174	539685	NP_001039925
628854	Q3T112	ENSBTAG00000003039	282013	NP_001035570
628867	Q3SZC2	ENSBTAG00000008954	510593	NP_001029560
644115	A4IFB6	ENSBTAG00000004834	540938	NP_001077224
628888	Q32S26	ENSBTAG00000011074	505358	NP_001039331
639877	Q5E9V3	ENSBTAG00000002574	540487	NP_001015676
629324	Q32P85	ENSBTAG00000017752	768062	NP_001070587
628983	Q3T0R1	ENSBTAG00000002648	326602	NP_001028786
629004	Q17Q89	ENSBTAG00000010723	509914	NP_001068889
629395	P07688	ENSBTAG00000012442	281105	NP_776456
630966	A4IF75	ENSBTAG00000038462	618298	NP_001077253
629418	Q6IE77	ENSBTAG00000004769	444987	NP_001013021
629929	A6QLD2	ENSBTAG00000034147	513053	NP_001093824
628467	Q3MHN7	ENSBTAG00000005825	515343	NP_001029662
644156	A6H779	ENSBTAG00000003952	616212	NP_001092623
629235	Q9MYW0	ENSBTAG00000011227	407151	NP_001160044
628869	Q0IIL2	ENSBTAG00000019486	538709	NP_001069591
636625	Q5EA03	ENSBTAG00000022530	513552	NP_001014919
636627	Q3SZJ9	ENSBTAG00000001440	510978	NP_001030267
629335	Q2NKR3	ENSBTAG00000017009	614078	NP_001106646
629437	Q0V7M8	ENSBTAG00000019066	618107	NP_001069962
629440	Q2KIR8	ENSBTAG00000000011	511957	NP_001039569
642302	Q2KJ81	ENSBTAG00000013329	504310	NP_001039349
642319	A6QR31	ENSBTAG00000046846	508634	NP_001098474
642338	A4FV54	ENSBTAG00000038696	100125881	NP_001098951
628477	A6H7B1	ENSBTAG00000000562	781575	NP_001092653
630039	Q28110	ENSBTAG00000021842	282229	NP_776964
628546	A7MB12	ENSBTAG00000006843	526343	NP_001094598
628547	Q2KI79	ENSBTAG00000018452	528003	NP_001039754
628485	P56966	ENSBTAG00000013068	780882	NP_001073269
628488	Q32KS0	ENSBTAG00000013735	505066	NP_001033121
630109	Q3SZT6	ENSBTAG00000015856	510399	NP_001029552
630115	P35720	ENSBTAG00000015853	327696	NP_787008
628659	Q05688	ENSBTAG00000021527	281848	NP_001231541
630222	Q3ZBB1	ENSBTAG00000026067	613356	NP_001029905
630119	A8R4Q8	ENSBTAG00000040512	100126444	NP_001103915
630126	A6QR22	ENSBTAG00000009213	505393	NP_001014853
629216	A2VE79	ENSBTAG00000019684	618855	NP_001075935
630130	P81644	ENSBTAG00000009212	505394	NP_001039381
630137	Q9BDR7	ENSBTAG00000024503	282226	NP_776962
630143	P17694	ENSBTAG00000002203	327697	NP_001068605
630172	Q5EA87	ENSBTAG00000021897	515771	NP_001015609
630178	P56602	ENSBTAG00000021894	515770	NP_001179355
630194	Q5E953	ENSBTAG00000021705	537221	NP_001015663
630209	A1A4P5	ENSBTAG00000020152	404138	NP_001073690
628552	Q58DS4	ENSBTAG00000008494	538802	NP_001014951
629218	Q3T0F4	ENSBTAG00000015598	540965	NP_001029888
629474	Q2NL11	ENSBTAG00000004134	768069	NP_001070594
630225	Q6XBT4	ENSBTAG00000017873	407239	NP_001001161
629496	A7MBI0	ENSBTAG00000016124	520488	NP_001094571
630243	Q9XT56	ENSBTAG00000017846	281258	NP_776520
629499	P54149	ENSBTAG00000021632	281312	NP_776539
642416	A6QQ91	ENSBTAG00000011602	540027	NP_001095706
629519	Q32PA0	ENSBTAG00000024549	614553	NP_001069802
645192	P48427	ENSBTAG00000003263	327683	NP_786997
641884	Q1LZE9	ENSBTAG00000015177	538575	NP_001073775
648926	Q8WNR4	ENSBTAG00000012775	404073	NP_991343
642567	A6QQT9	ENSBTAG00000015186	506955	NP_001015535
629320	Q0VCY7	ENSBTAG00000014766	615796	NP_001069862
645194	Q32PG1	ENSBTAG00000005016	767602	NP_001070002
629328	Q3MHR3	ENSBTAG00000025313	540369	NP_001106774
630969	Q58DQ5	ENSBTAG00000006150	519302	NP_001030409
642586	Q2YDN4	ENSBTAG00000020615	528661	NP_001039757
628586	Q3SZ55	ENSBTAG00000014675	514705	NP_001030375
631006	A2VDP0	ENSBTAG00000012332	540024	NP_001075008
631011	Q2KI95	ENSBTAG00000001086	510008	NP_001039511
641917	Q56JY0	ENSBTAG00000019995	504867	NP_001029398
628968	Q4PJW3	ENSBTAG00000001992	505060	NP_001020490
641921	Q3SZ25	ENSBTAG00000007847	404183	NP_001035584
629877	Q5E9E6	ENSBTAG00000019494	533310	NP_001015647
637213	F6QV99	ENSBTAG00000000806	506045	NP_001192510
629359	P80025	ENSBTAG00000012780	280844	NP_776358
630582	Q27954	ENSBTAG00000004333	100126041	NP_001099115
630601	Q3SZD1	ENSBTAG00000007537	521522	NP_001029712
644081	A2VE56	ENSBTAG00000006869	511990	NP_001075901
629501	Q3SYX6	ENSBTAG00000003386	616425	NP_001029964
630293	Q28053	ENSBTAG00000017753	280722	NP_001070264
629018	A2VDY6	ENSBTAG00000021996	784921	NP_001075092
630649	A2VDL6	ENSBTAG00000010551	515161	NP_001074993
644094	Q1RMR5	ENSBTAG00000010548	527979	NP_001069372
644201	Q7M2N1	ENSBTAG00000007732	618648	NP_001070418
631036	A6QQ14	ENSBTAG00000017189	613730	NP_001094695
641932	Q2TA00	ENSBTAG00000011132	617342	NP_001033307
629985	A0JNQ7	ENSBTAG00000016833	525923	NP_001071435
629037	A6QPE1	ENSBTAG00000018363	505408	NP_001095324
629563	F1MJR8	ENSBTAG00000010167	522810	NP_001179497
628603	Q68RJ9	ENSBTAG00000047486	493726	NP_001007821
644097	P58126	ENSBTAG00000020667	281884	NP_776799
630690	Q5E9F5	ENSBTAG00000002068	282379	NP_001013617
648680	Q29RS0	ENSBTAG00000000457	538595	NP_001039897
641953	Q32L86	ENSBTAG00000000451	529762	NP_001032697
636970	P02318	ENSBTAG00000021493	281423	NP_776581
628639	Q32P76	ENSBTAG00000034360	526395	NP_001106772
628640	O18870	ENSBTAG00000005743	281492	NP_783632
630313	P02721	ENSBTAG00000000605	282690	NP_777142
631258	A0JNK3	ENSBTAG00000020124	523039	NP_001071424
631272	Q3ZBE0	ENSBTAG00000016609	517947	NP_001030399
645235	Q5I597	ENSBTAG00000002255	497025	NP_001011679
631311	Q2HJF1	ENSBTAG00000016599	505728	NP_001039391
629682	Q3ZC22	ENSBTAG00000024889	767979	NP_001106787
629330	Q08DP6	ENSBTAG00000002531	510704	NP_001070298
630753	Q3T004	ENSBTAG00000019616	514488	NP_001029638
629655	O62647	ENSBTAG00000000534	281414	NP_776575
628661	A5PJA1	ENSBTAG00000046192	532936	NP_001099078
630384	Q7YS80	ENSBTAG00000014003	281336	NP_861527
630388	P17667	ENSBTAG00000026972	281335	NP_776541
