InnateDB ID	UNIPROT	ENSEMBL	Entrez ID	RefSeq
215015	P03888	ENSMUSG00000064341	17716	NP_904328
215024	P00405	ENSMUSG00000064354	17709	NP_904331
215027	P03930	ENSMUSG00000064356	17706	NP_904332
215030	P00848	ENSMUSG00000064357	17705	NP_904333
215033	P00416	ENSMUSG00000064358	17710	NP_904334
215036	P03899	ENSMUSG00000064360	17718	NP_904335
215039	P03903	ENSMUSG00000065947	17720	NP_904336
215042	P03911	ENSMUSG00000064363	17719	NP_904337
766828	P70280	ENSMUSG00000051412	20955	NP_035645
215048	P03925	ENSMUSG00000064368	17722	NP_904339
215051	P00158	ENSMUSG00000064370	17711	NP_904340
767520	Q91ZE0	ENSMUSG00000079834	192289	NP_620097
127650	P10925	ENSMUSG00000053211	22767	NP_033596
127660	P31254	ENSMUSG00000069053	22202	NP_035797
127663	Q62240	ENSMUSG00000056673	20592	NP_035549
127666	Q9Z0N2	ENSMUSG00000069049	26908	NP_036141
127671	Q62095	ENSMUSG00000069045	26900	NP_036138
160014	P20662	ENSMUSG00000000103	22768	NP_033597
127705	Q05738	ENSMUSG00000069036	21674	NP_035694
132405	Q6DID3	ENSMUSG00000046201	106583	NP_598884
138079	Q3UZY0	ENSMUSG00000023764	78887	NP_084483
129570	P15208	ENSMUSG00000005534	16337	NP_034698
138847	P32233	ENSMUSG00000020457	13494	NP_031905
131500	Q5GH67	ENSMUSG00000051951	497097	NP_001011874
264083	E9Q5R7	ENSMUSG00000078817	378425	NP_001028603
127682	P61027	ENSMUSG00000020671	19325	NP_057885
128171	Q9D1N9	ENSMUSG00000024829	353242	NP_758456
128203	P97742	ENSMUSG00000024900	12894	NP_038523
139074	Q7TMJ8	ENSMUSG00000034614	216505	NP_835362
221925	P62956	ENSMUSG00000069806	81904	NP_573452
131121	Q80Y20	ENSMUSG00000025899	67667	NP_080579
133097	Q9D258	ENSMUSG00000026644	78245	NP_084339
133122	Q8R197	ENSMUSG00000026645	99035	NP_666033
131439	Q64261	ENSMUSG00000040274	12571	NP_034003
127688	O35066	ENSMUSG00000020668	16570	NP_032471
132273	Q8R4S0	ENSMUSG00000040653	76142	NP_597844
127755	Q9D4H8	ENSMUSG00000024231	71745	NP_083678
129646	Q6P9R4	ENSMUSG00000004568	102098	NP_598723
131183	Q8BG79	ENSMUSG00000025898	244672	NP_081821
133168	Q61845	ENSMUSG00000026650	104362	NP_032605
128255	P47212	ENSMUSG00000024907	14419	NP_034383
264091	Q8VHW3	ENSMUSG00000078815	54378	NP_573446
133332	Q9EQQ0	ENSMUSG00000026646	64707	NP_073561
127821	Q4VAH7	ENSMUSG00000044156	101202	NP_849230
129715	Q6P6M5	ENSMUSG00000069633	69129	NP_081227
133420	Q99M31	ENSMUSG00000051396	50497	NP_056580
221975	B6A8R8	ENSMUSG00000053338	245126	NP_796337
139886	P59644	ENSMUSG00000034570	170835	NP_766027
129776	Q99J21	ENSMUSG00000004567	94178	NP_444407
127778	Q9D0L6	ENSMUSG00000024232	68010	NP_080781
130251	Q9WUU6	ENSMUSG00000017688	30942	NP_038948
133580	Q8CC36	ENSMUSG00000039496	227526	NP_808315
139983	Q8VHC3	ENSMUSG00000075702	114679	NP_444497
132697	Q8JZM0	ENSMUSG00000036983	224481	NP_666186
128348	Q61598	ENSMUSG00000021218	14569	NP_032138
132246	Q9DCX8	ENSMUSG00000019762	70337	NP_081667
128330	Q9D850	ENSMUSG00000028232	72098	NP_082373
128384	Q5DTT3	ENSMUSG00000033799	105203	NP_598824
128351	Q923W1	ENSMUSG00000028233	116940	NP_473430
131561	Q8K2X2	ENSMUSG00000040302	269623	NP_766579
128306	Q91VN0	ENSMUSG00000024913	16973	NP_032539
131610	Q5BL07	ENSMUSG00000005907	71382	NP_082053
130120	Q9DCD2	ENSMUSG00000019470	67439	NP_080432
133604	Q3TGF2	ENSMUSG00000026655	66540	NP_079902
135691	Q9CQ91	ENSMUSG00000035674	66091	NP_079624
489216	P0DJE0	ENSMUSG00000087687	100503890	NP_001182173
130245	Q64324	ENSMUSG00000004626	20911	NP_035633
131741	Q920S3	ENSMUSG00000007415	67210	NP_080309
128428	Q8VBX0	ENSMUSG00000033781	142688	NP_840068
132764	Q672J9	ENSMUSG00000023802	224480	NP_945196
135865	Q8K0V4	ENSMUSG00000035632	232791	NP_666288
264121	Q9DB98	ENSMUSG00000078813	69757	NP_081479
130383	Q9D8U6	ENSMUSG00000013974	69189	NP_081261
130400	Q9CQA1	ENSMUSG00000040236	66682	NP_079977
136164	Q8CHK3	ENSMUSG00000035596	77582	NP_084210
140794	Q5QNQ6	ENSMUSG00000020435	74309	NP_690031
136327	Q6ZWN5	ENSMUSG00000006333	76846	NP_084043
130537	Q8BNX1	ENSMUSG00000074491	75863	NP_083741
128362	Q9D8N1	ENSMUSG00000035372	72056	NP_082353
136357	P97484	ENSMUSG00000058818	18733	NP_035225
130586	Q91ZX1	ENSMUSG00000031494	170786	NP_573501
730690	Q60990	ENSMUSG00000096520	100041505	NP_001257441
128446	Q9D6P8	ENSMUSG00000063130	70405	NP_081692
128423	P60867	ENSMUSG00000028234	67427	NP_080423
128449	Q9JM83	ENSMUSG00000033765	80796	NP_064420
129223	P23275	ENSMUSG00000059043	18312	NP_032788
132086	Q8C0R9	ENSMUSG00000040367	242838	NP_766467
130624	Q91ZW7	ENSMUSG00000040197	170780	NP_570975
271528	P00536	ENSMUSG00000078365	17451	NP_064405
130661	Q91ZW8	ENSMUSG00000031495	170779	NP_570974
141134	Q9CR34	ENSMUSG00000020434	67430	NP_080426
129274	Q8BT88	ENSMUSG00000005983	73261	NP_082760
141154	Q8VE01	ENSMUSG00000047205	75219	NP_776106
128431	Q9QYE0	ENSMUSG00000003282	56711	NP_064353
141181	Q8K3D6	ENSMUSG00000048807	103710	NP_694782
129301	Q8R3P7	ENSMUSG00000014232	76779	NP_084014
128528	Q80VQ0	ENSMUSG00000024885	67689	NP_080592
128516	Q3UX10	ENSMUSG00000021216	238463	NP_001029051
132165	Q70FJ1	ENSMUSG00000040407	100986	NP_919444
130820	Q91ZW9	ENSMUSG00000040165	170776	NP_570973
128525	Q924A4	ENSMUSG00000044988	83428	NP_112540
127853	Q6ZQ18	ENSMUSG00000020658	668212	NP_001075952
127874	O35536	ENSMUSG00000029664	21789	NP_033390
141300	Q9EQ61	ENSMUSG00000020430	64934	NP_075027
127886	Q8CHQ0	ENSMUSG00000022184	106052	NP_598860
129386	Q6P1D7	ENSMUSG00000039738	52864	NP_803423
127906	Q8BR90	ENSMUSG00000041935	106064	NP_666042
128638	Q91XE4	ENSMUSG00000024866	71670	NP_082133
127877	Q61012	ENSMUSG00000029663	14699	NP_034444
128469	Q7TQA3	ENSMUSG00000028236	242285	NP_871789
128698	Q9CR24	ENSMUSG00000024869	66387	NP_079805
128719	Q9ESN1	ENSMUSG00000024871	60425	NP_068563
127883	P61953	ENSMUSG00000032766	66066	NP_079607
128753	Q91YT0	ENSMUSG00000037916	17995	NP_598427
127912	Q9D0K2	ENSMUSG00000022186	67041	NP_077150
141481	Q8R0F9	ENSMUSG00000019368	103655	NP_666125
128794	P19157	ENSMUSG00000060803	14870	NP_038569
129416	P49183	ENSMUSG00000005980	13419	NP_034191
129450	Q9CQN1	ENSMUSG00000005981	68015	NP_080784
128483	Q05A13	ENSMUSG00000071019	242286	NP_001074179
127889	O35623	ENSMUSG00000032757	12068	NP_033878
132394	Q8K0C4	ENSMUSG00000001467	13121	NP_064394
127868	Q8CFP6	ENSMUSG00000020657	217378	NP_694722
141636	Q9CRB8	ENSMUSG00000004748	67900	NP_080719
141672	Q99J08	ENSMUSG00000003585	67815	NP_653103
128861	Q9CPY4	ENSMUSG00000024856	52004	NP_080649
128569	Q8K023	ENSMUSG00000021214	105349	NP_598827
128498	P22005	ENSMUSG00000045573	18619	NP_001002927
141742	Q5SPX3	ENSMUSG00000003581	71673	NP_082135
129012	Q8VHC5	ENSMUSG00000024842	73660	NP_653115
137510	Q8CBY3	ENSMUSG00000035545	232798	NP_766324
129033	Q8BXS7	ENSMUSG00000044724	269053	NP_996856
137603	Q8BTN6	ENSMUSG00000043432	243813	NP_780738
129050	Q9WUM3	ENSMUSG00000024835	23789	NP_035908
137606	Q9Z0X0	ENSMUSG00000063838	58804	NP_067429
129129	Q64697	ENSMUSG00000045826	19265	NP_058629
129075	Q9Z1M4	ENSMUSG00000024830	58988	NP_067460
141954	Q8K4Z5	ENSMUSG00000002129	67465	NP_080451
129138	Q6ZPS2	ENSMUSG00000075289	107239	NP_598909
127797	Q9CPX3	ENSMUSG00000024233	67328	NP_080368
129155	Q8C9V1	ENSMUSG00000040247	108995	NP_848765
142084	P58802	ENSMUSG00000034412	103724	NP_598784
128578	Q8VC28	ENSMUSG00000021213	27384	NP_038806
129195	P62137	ENSMUSG00000040385	19045	NP_114074
129237	Q9Z0F6	ENSMUSG00000024824	19367	NP_035367
127915	Q8K015	ENSMUSG00000020652	52504	NP_598807
129271	Q9QZM3	ENSMUSG00000040663	56708	NP_064336
142173	Q9CWQ8	ENSMUSG00000020424	71962	NP_082298
131146	Q66JT1	ENSMUSG00000046589	72267	NP_082451
129279	Q9CWP8	ENSMUSG00000024854	69745	NP_081472
703706	D3Z4S3	ENSMUSG00000096199	69709	NP_001191841
142284	P53347	ENSMUSG00000058755	18413	NP_001013383
127933	P70365	ENSMUSG00000020647	17977	NP_035011
131267	Q91XA5	ENSMUSG00000011837	102209	NP_598729
131313	Q8K129	ENSMUSG00000048644	330695	NP_899138
131326	O35857	ENSMUSG00000002949	21856	NP_035722
129295	Q8K330	ENSMUSG00000034616	245857	NP_932781
131898	Q9WTQ5	ENSMUSG00000038587	83397	NP_112462
129330	Q6PD24	ENSMUSG00000005986	68423	NP_080996
131410	P70372	ENSMUSG00000040028	15568	NP_034615
131364	Q9CQF6	ENSMUSG00000025894	67618	NP_080552
131488	O35903	ENSMUSG00000023235	20300	NP_033164
127807	Q07174	ENSMUSG00000024235	26410	NP_031772
137680	Q8C567	ENSMUSG00000062524	17086	NP_034876
142404	Q5SQP1	ENSMUSG00000020419	75828	NP_083734
264209	P0C191	ENSMUSG00000078810	243816	NP_001156486
127813	Q9D0D3	ENSMUSG00000024234	67440	NP_080433
131433	Q91YU3	ENSMUSG00000041124	78100	NP_663584
131783	Q8CI78	ENSMUSG00000019763	66084	NP_079619
129606	P97348	ENSMUSG00000041845	11854	NP_031511
131753	A6H630	ENSMUSG00000061759	73419	NP_077223
128689	P70694	ENSMUSG00000021210	83702	NP_085114
129615	Q920N7	ENSMUSG00000049303	171180	NP_598925
129669	Q7TQ48	ENSMUSG00000022519	106393	NP_780556
142483	Q8K296	ENSMUSG00000034354	74302	NP_083136
137951	Q3UMT1	ENSMUSG00000019254	232807	NP_084110
131517	Q9D6J1	ENSMUSG00000008206	67260	NP_080334
129640	Q8VC23	ENSMUSG00000042041	69861	NP_081513
127903	Q01149	ENSMUSG00000029661	12843	NP_031769
138199	P48787	ENSMUSG00000035458	21954	NP_033432
138305	Q3UYV8	ENSMUSG00000055809	436022	NP_001028720
138358	Q9R0N5	ENSMUSG00000004961	53420	NP_058604
128782	Q91WR5	ENSMUSG00000021207	77337	NP_084177
128829	Q9DCT1	ENSMUSG00000045410	56043	NP_061347
129721	Q8VDL9	ENSMUSG00000014303	83396	NP_112461
127952	Q7TN73	ENSMUSG00000015189	213819	NP_663373
131663	P19785	ENSMUSG00000019768	13982	NP_031982
129674	Q80XU8	ENSMUSG00000045045	225875	NP_700437
129742	Q9CQV1	ENSMUSG00000014301	66449	NP_079847
133771	Q8BM39	ENSMUSG00000039449	67229	NP_080321
129687	P57791	ENSMUSG00000024889	19671	NP_075620
129763	Q9D2V7	ENSMUSG00000039637	78885	NP_084481
138494	Q497J1	ENSMUSG00000045282	68255	NP_075929
138516	Q7TSI3	ENSMUSG00000052296	243819	NP_766482
127830	Q5DTX6	ENSMUSG00000033960	240185	NP_001075432
142720	Q91WR3	ENSMUSG00000020412	75452	NP_083567
129844	Q9CZT5	ENSMUSG00000039646	246154	NP_647468
138595	Q99P31	ENSMUSG00000063802	66245	NP_077134
142891	Q9CQR5	ENSMUSG00000009076	67178	NP_080291
258725	Q8CDW1	ENSMUSG00000079177	74855	NP_083383
131630	Q9Z179	ENSMUSG00000022322	20419	NP_035499
142924	Q91ZM8	ENSMUSG00000009075	192650	NP_620398
128010	Q497Q6	ENSMUSG00000050545	207921	NP_780640
130000	Q9DB75	ENSMUSG00000004071	66626	NP_079946
132454	O70421	ENSMUSG00000044674	14362	NP_067432
128519	Q80V26	ENSMUSG00000066324	242291	NP_808398
128029	Q9D6I3	ENSMUSG00000020639	382562	NP_082652
139071	Q9D2E9	ENSMUSG00000013091	78052	NP_084304
139111	A9JSM3	ENSMUSG00000030431	664968	NP_083660
129915	Q8C2Q3	ENSMUSG00000006456	56275	NP_063922
132486	O35495	ENSMUSG00000028926	18647	NP_035204
131645	P97823	ENSMUSG00000025903	18777	NP_032892
139176	Q921J4	ENSMUSG00000060860	77891	NP_598538
128044	P59708	ENSMUSG00000037361	66055	NP_079599
129974	Q9WU84	ENSMUSG00000034108	12460	NP_058588
128053	Q9Z2I2	ENSMUSG00000020635	14226	NP_058559
130046	E9QMW4	ENSMUSG00000022518	78809	NP_084468
130024	Q8CDL9	ENSMUSG00000067872	399599	NP_997151
139275	Q9DCC7	ENSMUSG00000052605	67441	NP_080434
394161	Q9R013	ENSMUSG00000083282	56464	NP_063914
130128	O88990	ENSMUSG00000006457	11474	NP_038484
128099	Q3T9M1	ENSMUSG00000037336	432628	NP_001028660
143277	O55125	ENSMUSG00000034285	18082	NP_032724
